url,logo,Сеть,Адрес,Метро,Авто в наличие,Название автосалона,Тип авто,График работы,Проверенный дилер,Официальный дилер какой марки,Фото,Марки авто,Телефоны
https://auto.ru/diler/cars/all/kolmi_uaz_yakutsk,,,"г. Якутск, Покровское шоссе 6-й км, 1Б",,,Колми УАЗ Якутск,Новые,"пн-пт 9:00-18:00, сб-вс 10:00-18:00",Нет,УАЗ,,,"84112312158,84112711811"
https://auto.ru/diler/cars/all/magadanskiy_avtocentr_isuzu,,,"Магадан, Марчеканское шоссе, д. 44",,,Магаданский автоцентр Isuzu,Новые,,Нет,Isuzu,,,84132226622
https://auto.ru/diler/cars/all/kolmi_lada_yakutsk,,,"Якутск, Новопокровский тракт, 6-й км",,,Колми LADA Якутск,Новые,"пн-пт 9:00-19:00, сб-вс 10:00-19:00",Нет,LADA (ВАЗ),,,"84112312158,84112312139"
https://auto.ru/diler/cars/all/sibavtocentr_renault_irkutsk,,,"Россия, Иркутская область, Иркутск, Трактовая улица, 24/1",,1,СибАвтоЦентр Renault Иркутск,Новые,ежедн. 9:00-21:00,Нет,Renault,,Logan,83952487100
https://auto.ru/diler/cars/all/karagi_plus_uaz_magadan,,,"г. Магадан, ул. Чукотская, 18А",,,КАРАГИ-ПЛЮС УАЗ Магадан,Новые,пн-пт 9:00-18:00,Нет,УАЗ,,,"84132210400,84132227227"
https://auto.ru/diler/cars/all/avirra_krasnoyarsk,https://avatars.mds.yandex.net/get-verba/997355/2a00000178fe79e998963a3b17c4793312da/dealer_logo,АВИРРА,"Россия, Красноярский край, Солонцы, проспект Котельникова, 13А",,1,AVIRRA ОНЛАЙН,С пробегом,ежедн. 10:00-19:00,Нет,,,Land Cruiser Prado,83919897762
https://auto.ru/diler/cars/all/arena27_habarovsk,,,"Россия, Хабаровский край, Хабаровск, Монтажная улица, 42",,1,Arena27,С пробегом,ежедн. 9:00-22:00,Нет,,,Crown,"89842902793,89842603813"
https://auto.ru/diler/cars/all/kolmi_kia_yakutsk,,,"Якутск, Покровский тракт, 6-й км",,,Колми Kia Якутск,Новые,"пн-пт 9:00-19:00, сб-вс 10:00-19:00",Нет,Kia,,,84112400444
https://auto.ru/diler/cars/all/bentley_krasnoyarsk,,,"Красноярск, ул. Авиаторов, 4Б",,1,Bentley Krasnoyarsk,Новые,пн-пт 10:00-18:00,Нет,Bentley,"https://avatars.mds.yandex.net/get-verba/1030388/2a00000160980d3e669cacd7ae6b6ade518f/cattouchret,https://avatars.mds.yandex.net/get-verba/216201/2a00000160979688c0e3aa2b48ba6e253a95/cattouchret,https://avatars.mds.yandex.net/get-verba/787013/2a0000016091da373b93359e0eb91e97179e/cattouchret",7 серии,89994490233
https://auto.ru/diler/cars/all/avtospecmash_tehnika_s_probegom_krasnoyarsk,,,"Россия, Красноярский край, Красноярск, улица 9 Мая, 2А",,1,АвтоСпецМаш Техника с пробегом,С пробегом,ежедн. 9:00-18:00,Нет,,,RAV4,83912050707
https://auto.ru/diler/cars/all/avtograd_tumen_chrysler,https://avatars.mds.yandex.net/get-verba/1540742/2a0000016cbe9f409b6206a54d90eec745e0/dealer_logo,АВТОГРАД,"Тюмень, ул. Республики, 274",,,Автоград Chrysler Тюмень,Новые,"пн-сб 9:00-20:00, вс 10:00-18:00",Нет,Chrysler,,,83452290015
https://auto.ru/diler/cars/all/avtoforum_murmansk,,,"Россия, Мурманская обл., Мурманск, пр. Кольский, д. 134",,,Автофорум,С пробегом,ежедн. 9:00-20:00,Нет,,,,89522920248
https://auto.ru/diler/cars/all/sk_motors_surgut_nissan,,,"Сургут, проспект Ленина, 76",,,СК-Моторс Nissan Сургут,Новые,ежедн. 9:00-20:00,Нет,Nissan,,,"83462228080,83462379280"
https://auto.ru/diler/cars/all/vestminster_jaguar_krasnoyarsk,https://avatars.mds.yandex.net/get-verba/216201/2a0000016c623c59e0eb28a0ffe08084f4e8/dealer_logo,,"Емельяновский район, п. Солонцы, пр-кт Котельникова, 37, стр. 1",,1,Вестминстер Jaguar Красноярск,Новые,"пн-пт 9:00-19:00, сб 10:00-18:00",Нет,Jaguar,"https://avatars.mds.yandex.net/get-verba/787013/2a000001609035b102bcd989057be34abb7f/cattouchret,https://avatars.mds.yandex.net/get-verba/216201/2a0000016094c4e99f823ef5c0f983c3c16c/cattouchret,https://avatars.mds.yandex.net/get-verba/1540742/2a00000167882cbd6c9c5ffa7968582ba2c3/cattouchret,https://avatars.mds.yandex.net/get-verba/787013/2a0000016093574a7f1902188c3ae4207036/cattouchret,https://avatars.mds.yandex.net/get-verba/216201/2a000001609035ecc9014b3464a0940ba0da/cattouchret,https://avatars.mds.yandex.net/get-verba/216201/2a000001609036937690e0a112dc7755dcca/cattouchret,https://avatars.mds.yandex.net/get-verba/937147/2a00000160944778ce5fdac4bbdb9500c7c5/cattouchret,https://avatars.mds.yandex.net/get-verba/1030388/2a00000167882b69b2416a96b8f50b5d108a/cattouchret",I-Pace,89029237838
https://auto.ru/diler/cars/all/saturn_r_avto_opel_perm,https://avatars.mds.yandex.net/get-verba/937147/2a00000160925141c8f4f26243ca4f95964b/dealer_logo,Сатурн-Р,"Россия, Пермский край, Пермь, шоссе Космонавтов, 368А",,,САТУРН-Р-АВТО Opel Пермь,Новые,"пн-пт 9:00-21:00, сб 9:00-20:00, вс 9:00-19:00",Нет,Opel,,,83422553701
https://auto.ru/diler/cars/all/vostok_motors_perm,,,"Пермский край, Пермь, шоссе Космонавтов, 316В/1",,,Восток Моторс,С пробегом,ежедн. 10:00-19:00,Нет,,,,83422055444
