Сеть,url_orig,Автор,Дата публикации,Текст отзыва,Лайки,Дизлайки
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=1,Олеся,21.07.2019,"Салон хороший. Есть приличный выбор автомобилей. Менеджера вежливые, отвечают на все вопросы. С парковкой проблем не возникло. Единственное, что хочется отметить, то оплату лучше производить наличными, так как иногда бывают проблемы с картой",10,4
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=1,Николай О.,06.07.2019,"Хороший автосалон, преобрел там машину",8,3
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=1,Елена Е.,24.07.2019,Лучший,7,3
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=1,Александр Новиков,26.01.2021,". Хороший тех центр, замечательные мастера. ТО делают на совесть. Ремонт по нормальным ценам.",5,1
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=1,Виктор,03.05.2019,Все супер. В наличии есть нужные авто. Соответствуют цене и качеству!,6,3
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=1,Денис Сергеевич Подгурский,01.07.2019,"Приехали в эту компанию с опаской, так как в Москве много  развода на покупку нового автомобиля и были на столько удивлены отношением, вниманием, к нам. Менеджер общался со мной ещё до покупке автомобиля по WhatsApp, забронировал мне машину, подготовил заранее все документы, включая ПТС, в подарок мне поставили сигнализацию с авто запуском, как я п...",6,3
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=1,Михаил К.,07.07.2019,Обслуживаю здесь третью машину.   Хорошая программа лояльности и цены дешевле всех в сао.,7,4
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=1,Андрей Силантьев,13.10.2020,"Менеджеры не даром едят свой хлеб, молодцы!",5,2
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=1,Никита,21.12.2020,"По телефону сказали машина в наличии приехал в салон сказали типа «только что забрали», не верю.",3,0
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=1,Андрей,18.10.2019,"Не возлагали больших надежд на автосалон, поскольку перед ним проехали еще с десяток по всей Москве.  Рассчитывали на классическую «лапшу» на ушах, но Михаил Новоселов изменил наши ожидания.  Профессиональный подход к делу. Так держать.  Спасибо.",5,3
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=7,Марина,30.10.2019,"Внимательный персонал. Очень вежливо, качественно делают свою работу. Машину купила в другом салоне, но ТО всегда делаю в Акросе. Нравятся цены, качество и приятные бонусы для постоянных клиентов.",4,7
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=7,Елена,07.11.2019,"Это не первый автосалон, который мы до этого посещали. В АКРОС попали по рекомендации друзей. И не ошиблись! Грамотный, компетентный, доброжелательный персонал.  Остались очень довольны покупкой! Большое спасибо менеджеру по продаже Надежде!",1,4
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=7,Никита К.,20.07.2019,"За обслуживание ставлю 2 балла! Менеджеры не хотят работать совсем! Звонил вчера по солярису. первый раз никто не ответил, второй раз менеджер не хотел рассказывать про авто. третий раз звонил и мне говорят типа хотите приездайте, спрос большой. тут как на рынке, кто успеет тот и заберет. а типа общаться просто нет времени. сказали что едут смотрет...",3,8
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=7,Я с Урала,06.11.2019,Удобный подъезд. Видно с дороги. Есть довольно приличная парковка. Сам автосалон - 2 этажа. Все машины представлены. Менеджеры ненавязчивы,2,8
акрос,https://cenamashin.ru/ajax/salon_show_otzyvs_next.php?id=1612&m=0&act=1&page=7,Damir,29.10.2019,"Обслуживаюсь в сервисе автоцентра лет 6. К тому что постоянно предлагают сделать ненужную фигню уже привык, работа у людей такая. В целом при приеме обслуживают хорошо, мастера квалифицированные, рассказывают что будут делать во всех подробностях. Но вот что происходит в невидимых для клиента зонах для меня загадка. Недавно при очередной сдаче авто...",3,11
