url,mark,model,equipment,imgs,imgs_links
https://evolve.ae/car/mini-cooper/1239/detail,Mini,Mini Cooper,"Mini Cooper (Red), 2019",red_mini-cooper_2019_1239_main.jpg,https://evolve.ae/uploads/car/photo/m/red_mini-cooper_2019_1239_main.jpg
https://evolve.ae/car/mini-countryman/1361/detail,Mini,Mini Countryman,"Mini Countryman (Black), 2016",,
https://evolve.ae/car/bentley-continental-gt/2728/detail,Bentley,Bentley Continental GT,"Bentley GT Convertible (Blue), 2016","blue_bentley-gt-convertible_2016_2728_main_7c4eb6a870948a55b85ec827abf6e289.jpg,blue_bentley-gt-convertible_2016_8007_f2baf788d6ac1c5665eb288b42e963da.jpg,blue_bentley-gt-convertible_2016_8008_148cec8d2b05bbb99b572213bd66a58f.jpg,blue_bentley-gt-convertible_2016_8009_f04747af038ad314a85b8838af9e611b.jpg,blue_bentley-gt-convertible_2016_8010_fa080223ec1ff17062c2844621612d48.jpg,blue_bentley-gt-convertible_2016_8011_c45b3e6b864073e0f366e9cc9c22537f.jpg,blue_bentley-gt-convertible_2016_8012_91aac959e35b656075c36dff60d318ed.jpg,blue_bentley-gt-convertible_2016_8013_5d5cd0d5317ab15b1b11f8ab4cb38583.jpg","https://evolve.ae/uploads/car/photo/m/blue_bentley-gt-convertible_2016_2728_main_7c4eb6a870948a55b85ec827abf6e289.jpg,https://evolve.ae/uploads/car/photos/m/blue_bentley-gt-convertible_2016_8007_f2baf788d6ac1c5665eb288b42e963da.jpg,https://evolve.ae/uploads/car/photos/m/blue_bentley-gt-convertible_2016_8008_148cec8d2b05bbb99b572213bd66a58f.jpg,https://evolve.ae/uploads/car/photos/m/blue_bentley-gt-convertible_2016_8009_f04747af038ad314a85b8838af9e611b.jpg,https://evolve.ae/uploads/car/photos/m/blue_bentley-gt-convertible_2016_8010_fa080223ec1ff17062c2844621612d48.jpg,https://evolve.ae/uploads/car/photos/m/blue_bentley-gt-convertible_2016_8011_c45b3e6b864073e0f366e9cc9c22537f.jpg,https://evolve.ae/uploads/car/photos/m/blue_bentley-gt-convertible_2016_8012_91aac959e35b656075c36dff60d318ed.jpg,https://evolve.ae/uploads/car/photos/m/blue_bentley-gt-convertible_2016_8013_5d5cd0d5317ab15b1b11f8ab4cb38583.jpg"
https://evolve.ae/car/mini-cooper/2299/detail,Mini,Mini Cooper,"Mini Cooper (Grey), 2019","grey_mini-cooper_2019_2299_main_eb606d8d1705fe476b3a845ae27078d9.jpg,grey_mini-cooper_2019_3787_b49069c9d0405381bcdda926f2b35784.jpg,grey_mini-cooper_2019_3788_cc3583620ca2e2716af764d78984c133.jpg,grey_mini-cooper_2019_3789_a98f460af25d0b7f44543724be27f41d.jpg","https://evolve.ae/uploads/car/photo/m/grey_mini-cooper_2019_2299_main_eb606d8d1705fe476b3a845ae27078d9.jpg,https://evolve.ae/uploads/car/photos/m/grey_mini-cooper_2019_3787_b49069c9d0405381bcdda926f2b35784.jpg,https://evolve.ae/uploads/car/photos/m/grey_mini-cooper_2019_3788_cc3583620ca2e2716af764d78984c133.jpg,https://evolve.ae/uploads/car/photos/m/grey_mini-cooper_2019_3789_a98f460af25d0b7f44543724be27f41d.jpg"
https://evolve.ae/car/mini-cooper/1206/detail,Mini,Mini Cooper,"Mini Cooper (Red), 2018","red_mini-cooper_2018_1206_main.jpg,red_mini-cooper_2018_2006.jpg,red_mini-cooper_2018_2007.jpg,red_mini-cooper_2018_2008.jpg,red_mini-cooper_2018_2009.jpg,red_mini-cooper_2018_2010.jpg","https://evolve.ae/uploads/car/photo/m/red_mini-cooper_2018_1206_main.jpg,https://evolve.ae/uploads/car/photos/m/red_mini-cooper_2018_2006.jpg,https://evolve.ae/uploads/car/photos/m/red_mini-cooper_2018_2007.jpg,https://evolve.ae/uploads/car/photos/m/red_mini-cooper_2018_2008.jpg,https://evolve.ae/uploads/car/photos/m/red_mini-cooper_2018_2009.jpg,https://evolve.ae/uploads/car/photos/m/red_mini-cooper_2018_2010.jpg"
https://evolve.ae/car/range-rover-sport/2496/detail,Range Rover,Range Rover Sport,"Range Rover Sport (White), 2019","white_range-rover-sport_2019_2496_main_199af0101c9c11b0897e8b0c9bcf608a.jpg,white_range-rover-sport_2019_4510_ac4bd1831150a619cbf7fab0c7708c82.jpg,white_range-rover-sport_2019_4511_fd4baa10f0a88024651697cdb00688dd.jpg,white_range-rover-sport_2019_4512_3994b856ec07b2b4f44053f25ff88780.jpg","https://evolve.ae/uploads/car/photo/m/white_range-rover-sport_2019_2496_main_199af0101c9c11b0897e8b0c9bcf608a.jpg,https://evolve.ae/uploads/car/photos/m/white_range-rover-sport_2019_4510_ac4bd1831150a619cbf7fab0c7708c82.jpg,https://evolve.ae/uploads/car/photos/m/white_range-rover-sport_2019_4511_fd4baa10f0a88024651697cdb00688dd.jpg,https://evolve.ae/uploads/car/photos/m/white_range-rover-sport_2019_4512_3994b856ec07b2b4f44053f25ff88780.jpg"
https://evolve.ae/car/maserati-levante/1786/detail,Maserati,Maserati Levante,"Maserati Levante (Grey), 2018","grey_maserati-levante_2018_1786_main_cb798767a88b04fbb78989f262a84d3b.jpg,grey_maserati-levante_2018_5091_9e224f37af0843898f8c0154d06991d4.jpg,grey_maserati-levante_2018_5092_9c97a6888b167191e7989cc3cfb21c71.jpg,grey_maserati-levante_2018_5093_26b27257efe76dd3ea2ea8faf81712a3.jpg","https://evolve.ae/uploads/car/photo/m/grey_maserati-levante_2018_1786_main_cb798767a88b04fbb78989f262a84d3b.jpg,https://evolve.ae/uploads/car/photos/m/grey_maserati-levante_2018_5091_9e224f37af0843898f8c0154d06991d4.jpg,https://evolve.ae/uploads/car/photos/m/grey_maserati-levante_2018_5092_9c97a6888b167191e7989cc3cfb21c71.jpg,https://evolve.ae/uploads/car/photos/m/grey_maserati-levante_2018_5093_26b27257efe76dd3ea2ea8faf81712a3.jpg"
https://evolve.ae/car/maserati-levante/1787/detail,Maserati,Maserati Levante,"Maserati Levante (White), 2019","white_maserati-levante_2019_1787_main_3bbe8c920c8c4ac6bb7b52f2227077af.jpg,white_maserati-levante_2019_5151_42c92270a8b69072a53edbeaeb7b777d.jpg,white_maserati-levante_2019_5152_a0fd8c4fc188d49b3f21eb35166ebbf0.jpg,white_maserati-levante_2019_5153_65629ee508e9cfe68b689e8e05a42126.jpg,white_maserati-levante_2019_5154_9b9fe187401a01a7de354e1551d665d6.jpg","https://evolve.ae/uploads/car/photo/m/white_maserati-levante_2019_1787_main_3bbe8c920c8c4ac6bb7b52f2227077af.jpg,https://evolve.ae/uploads/car/photos/m/white_maserati-levante_2019_5151_42c92270a8b69072a53edbeaeb7b777d.jpg,https://evolve.ae/uploads/car/photos/m/white_maserati-levante_2019_5152_a0fd8c4fc188d49b3f21eb35166ebbf0.jpg,https://evolve.ae/uploads/car/photos/m/white_maserati-levante_2019_5153_65629ee508e9cfe68b689e8e05a42126.jpg,https://evolve.ae/uploads/car/photos/m/white_maserati-levante_2019_5154_9b9fe187401a01a7de354e1551d665d6.jpg"
https://evolve.ae/car/maserati-grancabrio/54/detail,Maserati,Maserati GranCabrio,"Maserati GranCabrio (Yellow), 2016","yellow_maserati-grancabrio_2016_54_main.jpg,maserati-grancabrio-photo-481.jpg,maserati-grancabrio-photo-482.jpg,maserati-grancabrio-photo-484.jpg,maserati-grancabrio-photo-485.jpg,maserati-grancabrio-photo-486.jpg,maserati-grancabrio-photo-487.jpg,maserati-grancabrio-photo-488.jpg","https://evolve.ae/uploads/car/photo/m/yellow_maserati-grancabrio_2016_54_main.jpg,https://evolve.ae/uploads/car/photos/m/maserati-grancabrio-photo-481.jpg,https://evolve.ae/uploads/car/photos/m/maserati-grancabrio-photo-482.jpg,https://evolve.ae/uploads/car/photos/m/maserati-grancabrio-photo-484.jpg,https://evolve.ae/uploads/car/photos/m/maserati-grancabrio-photo-485.jpg,https://evolve.ae/uploads/car/photos/m/maserati-grancabrio-photo-486.jpg,https://evolve.ae/uploads/car/photos/m/maserati-grancabrio-photo-487.jpg,https://evolve.ae/uploads/car/photos/m/maserati-grancabrio-photo-488.jpg"
https://evolve.ae/car/mini-cooper/981/detail,Mini,Mini Cooper,"Mini Cooper (Green), 2019","green_mini-cooper-s_2018_981_main.jpg,green_mini-cooper-s_2018_3252.jpg,green_mini-cooper-s_2018_3253.jpg,green_mini-cooper-s_2018_3254.jpg,green_mini-cooper-s_2018_3255.jpg,green_mini-cooper-s_2018_3256.jpg,green_mini-cooper-s_2018_3257.jpg,green_mini-cooper-s_2018_3258.jpg","https://evolve.ae/uploads/car/photo/m/green_mini-cooper-s_2018_981_main.jpg,https://evolve.ae/uploads/car/photos/m/green_mini-cooper-s_2018_3252.jpg,https://evolve.ae/uploads/car/photos/m/green_mini-cooper-s_2018_3253.jpg,https://evolve.ae/uploads/car/photos/m/green_mini-cooper-s_2018_3254.jpg,https://evolve.ae/uploads/car/photos/m/green_mini-cooper-s_2018_3255.jpg,https://evolve.ae/uploads/car/photos/m/green_mini-cooper-s_2018_3256.jpg,https://evolve.ae/uploads/car/photos/m/green_mini-cooper-s_2018_3257.jpg,https://evolve.ae/uploads/car/photos/m/green_mini-cooper-s_2018_3258.jpg"
