url,"Город, г/км","Трасса, г/км","В комбинированном цикле, г/км","Мощность, л.с.","Крутящий момент, Н·м",Тип топлива,"Рабочий объем, л","Рабочий объем, см3",Экологический класс,Привод,"Время разгона 0-100 км/ч, с","Расход топлива комбинированный, л/100 км",Тип кузова,"Колесная база, мм","Дорожный просвет, мм","Объём багажника (VDA), л",Код модели,OCN,Модельный год,Год производства,Объем двигателя,Тип впуска,Рекомендуемое топливо,КПП,Количество передач КПП ,Длина кузова (мм),Ширина кузова (мм),Высота кузова (мм),Экстерьер,Безопасность,Комфорт,Адаптация для России,"Пакет ""Теплые опции""",Интерьер,Мультимедиа,Фото,Марка,Модель,Комплектация,Стоимость,Кредит руб/мес,Цвет кузова,Номер краски,Цвет салона,Обивка сидений
https://kia-armand.ru/models/stinger/cars/2cee0733c000e461a47536d53e3b0137/,289,164,210,247,353,"Бензин,",2.0,1998,Евро-5,Полный,6.8,9.2,Лифтбэк,2905,,,J5S6L8G1K,P216,2021,2021,2.0,T-GDI,АИ 95,Автомат,8,4830,1870,1400,"Светодиодные дневные ходовые огни (LED DRL)
Светодиодные (LED) задние фонари
Две двойные выхлопные трубы (четыре патрубка), хромированные
Задний спойлер
Легкосплавные диски 18"" с шинами: 225/45R18
Проекционные светодиодные фары ближнего и дальнего света (LED)
Корпуса боковых зеркал заднего вида покрыты темным хромом, линия остекления с отделкой темным хромом","Система курсовой устойчивости (ESC)
Система помощи при трогании на подъеме (HAC)
Антиблокировочная система тормозов (ABS)
Электрический стояночный тормоз (EPB)
Система контроля давления в шинах (TPMS)
Подголовники передних сидений, регулируемые по высоте и вылету
Фронтальные подушки безопасности
Боковые подушки и шторки безопасности
Коленная подушка безопасности водителя
Крепления для детских сидений ISOFIX
Запасное колесо временного использования
Система экстренной связи ЭРА-ГЛОНАСС
Напоминание о пассажирах на заднем ряду (ROA)
Активная система поднятия капота при столкновении с пешеходом (AHLS)
","Цветовая подсветка интерьера Mood Lamp с возможностью персонализации настроек
Улучшенная система рулевого управления (R-MDPS): электроусилитель, установленный на рулевой рейке
Функция Bluetooth с голосовым управлением; поддержка Apple Carplay и Android Auto
Передние и задние стеклоподъёмники с электроприводом (передние - с функцией Auto и Safety)
Система бесключевого доступа Smart Key и запуск двигателя кнопкой
Датчик света
Датчик дождя
Трехзонный климат-контроль
Электрохромное безрамочное зеркало заднего вида
Система выбора режима движения (Drive Mode)
Электропривод складывания боковых зеркал заднего вида
Боковые зеркала заднего вида с интегрированными лампами, для подсветки пространства перед дверями автомобиля
Передние и задние датчики парковки
Дистанционный запуск двигателя с ключа
Подрулевые ""лепестки"" переключения передач
Электронное управление трансмиссией (Shift by Wire)
Электрорегулируемое сиденье водителя в 8-ми направлениях
Электрорегулируемое сиденье переднего пассажира в 8-ми направлениях
Вентиляция передних сидений
Передние и задние стеклоподъёмники с электроприводом с функцией Auto и Safety
Круиз-контроль
Аудиосистема премиум класса Harman/Kardon, AUX/USB входы + 15 динамиков
Система активного звукового сопровождения (ASD)
Навигационная система с 10,25'' с цветным дисплеем с поддержкой Android Auto и Apple Carplay
Приборная панель Supervision с дисплеем 4.2''
Электропривод двери багажника с индивидуальной настройкой
Камера заднего вида c динамической разметкой
Беспроводная зарядка мобильного телефона в центральной консоли",,"Подогрев передних сидений
Подогрев задних сидений
Подогрев рулевого колеса
Боковые зеркала с электроприводом и подогревом","Сиденья с комбинированной кожаной отделкой*
Центральная консоль с отделкой черным глянцем
Обивка потолка тканью",,"https://cdn.kia.ru/resize/1295x632/master-data/albums/stinger_new/default/SWP/1.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/stinger_new/default/SWP/3.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/stinger_new/default/SWP/2.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/stinger_new/default/SWP/4.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/stinger_new/default/SWP/5.png",Kia,Stinger,Style,3089900,16230,Snow White Pearl,SWP,Черный,Комбинированная кожаная отделка* (WK)
https://kia-armand.ru/models/rio/cars/48e28e71cabf6ae775d040ed11fca98d/,205,123,153,123,151,"Бензин,",1.6,1591,Евро-5,Передний,"11,2","6,6",Седан,2600,160,480,H0S4D261F,D265,2022,2021,1.6,MPI,АИ 92-95,Автомат,6,4420,1740,1470,"Ручки дверей, окрашенные в цвет кузова
Корпуса зеркал заднего вида, окрашенные в цвет кузова
Зеркала заднего вида с электроприводом и подогревом
Рефлекторные галогенные фары
Стальные диски 15"" с декоративными колпаками и шинами 185/65R15
Дневные ходовые огни (DRL)","Фронтальные подушки безопасности
Антиблокировочная система тормозов (ABS)
Система курсовой устойчивости (ESC)
Интегрированная система активного управления (VSM)
Система помощи при трогании на подъеме (HAC)
Система предупреждения об экстренном торможении (ESS)
Система контроля давления в шинах
Передние дисковые тормоза
Система экстренной связи ЭРА-ГЛОНАСС
Запасное колесо временного использования
Телематическая система Mobikey
Запасное колесо на стальном диске 15""","Кондиционер
Водительское сиденье с регулировкой по высоте
Тройное срабатывание указателей поворота при однократном нажатии
Передние стеклоподъёмники с электроприводом
Электроусилитель руля
Регулировка рулевой колонки по высоте
Климат-контроль
Регулировка рулевой колонки по вылету
Автоматическое запирание дверей при движении
Ключ с дистанционным управлением центральным замком и багажником
Задние стеклоподъёмники с электроприводом и стеклоподъёмник водителя с функцией Auto
Задние датчики парковки
Датчик света
Камера заднего вида с динамическими линиями разметки","Передние брызговики
Воздуховоды к сидениям 2-го ряда
Аккумулятор увеличенной ёмкости (60Ач)
Увеличенный дорожный просвет (160мм)
Обработка кузова и днища автомобиля антикоррозионным покрытием
Увеличенный срок службы ламп передних фар (до 1500 часов)
Увеличенный бачок омывающей жидкости (5,3 л)
Шумоизоляция капота
","Подогрев передних сидений
Подогрев рулевого колеса
Электрообогрев лобового стекла
Подогрев форсунок стеклоомывателя","Задние сиденья со спинками, складывающимися в соотношении 60/40
Сиденья с отделкой тканью
Рулевое колесо с отделкой искусственной кожей","4 динамика
Аудиосистема с радио и USB входом
Мультимедийная система с 8'' дисплеем с поддержкой Android Auto и Apple Carplay
Управление аудиосистемой на руле
Bluetooth для подключения мобильного телефона","https://cdn.kia.ru/resize/1295x632/master-data/albums/rio/PGU/2.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/rio/PGU/3.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/rio/PGU/1.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/rio/PGU/4.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/rio/PGU/5.png",Kia,Rio,Luxe AV,1134900,5960,Atlas White,SAW,Черный,Однотонная ткань (WK)
https://kia-armand.ru/models/sportage/cars/b4e20a8e379c2bada685da7715f881a8/,274,155,199,184,237,"Бензин,",2.4,2359,Евро-5,Полный,"9,6","8,6",Кроссовер,2670,182,491,F1W5L6A1G,GJJP,2021,2021,2.4,GDI,АИ 95,Автомат,6,4485,1855,1645* *1655 - с рейлингами,"Задний спойлер со светодиодным стоп-сигналом
Стеклоочистители ""Aero blade""
Легкосплавные диски 17"" с шинами 225/60R
Электропривод складывания зеркал заднего вида и повторители указателя поворота
Светодиодные дневные ходовые огни
Светодиодные противотуманные фары
Полностью светодиодные фары
Задние светодиодные фонари
Рейлинги на крыше","Система экстренной связи ЭРА-ГЛОНАСС
Иммобилайзер
Система контроля давления в шинах
Крепления 2-го ряда для детских сидений ISOFIX
Помощник при трогании в гору HAC
Помощник при спуске с горы DBC
Система стабилизации прицепа TSC
Интегрированная система активного управления VSM
Система стабилизации ESC
Антиблокировочная система тормозов ABS
Передние боковые подушки и шторки безопасности
Фронтальные подушки безопасности
Система управления тягой в поворотах ATCC (только для версии с полным приводом)
Стальное запасное колесо временного использования","Мультифункциональное рулевое колесо
Bluetooth для подключения мобильных устройств
Механическая регулировка спинок задних сидений
Электроусилитель рулевого управления
Передние и задние электростеклоподъёмники
Регулировка сиденья водителя по высоте
Дефлекторы обдува для задних пассажиров
Кондиционер
Система выбора режима движения Drive Mode Select (для версий с автоматической трансмиссией)
6 динамиков
Аудиосистема с радио, RDS и USB входом
Ключ с дистанционным управлением центральным замком
Регулировка рулевой колонки по высоте и вылету
Раздельный климат-контроль
Электрорегулировка поясничного подпора сиденья водителя
Система бесключевого доступа Smart Key и пуск двигателя кнопкой
Мультимедиа с 8"" цветным дисплеем, с поддержкой Android Auto и Apple Carplay
Камера заднего вида с динамической линией разметки
Стеклоподъёмник водителя c функцией Auto
Стеклоподъёмник переднего пассажира c функцией Auto
Электрохромное зеркало заднего вида
Датчик света
Датчик дождя
Круиз-контроль с функцией ограничителя скорости
Электрический стояночный тормоз EPB c функцией Autohold
Передние датчики парковки
Задние датчики парковки",,"Подогрев передних и задних сидений
Подогрев руля
Подогрев лобового стекла в зоне стоянки стеклоочистителей
Индикатор низкого уровня омывающей жидкости
Боковые зеркала с электроприводом и подогревом","Отделка дверных ручек матовым хромом
Чёрная глянцевая отделка центральной консоли
Рулевое колесо и ручка селектора трансмиссии с отделкой кожей**
Сиденья с комбинированной кожаной отделкой**",,"https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/premium_black/CSS/6.jpg,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/CSS/4.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/CSS/3.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/CSS/5.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/CSS/2.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/premium_black/CSS/7.jpg,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/premium_black/CSS/8.jpg,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/CSS/1.png",Kia,Sportage,Prestige Black Edition,2389900,12550,Lunar Silver,CSS,Черный,Комбинированная кожаная отделка** (WK)
https://kia-armand.ru/models/sportage/cars/b10b59705219e62dbd8b34b8a5122f9e/,274,155,199,184,237,"Бензин,",2.4,2359,Евро-5,Полный,"9,6","8,6",Кроссовер,2670,182,491,F1W5L6A1G,GJJP,2021,2021,2.4,GDI,АИ 95,Автомат,6,4485,1855,1645* *1655 - с рейлингами,"Задний спойлер со светодиодным стоп-сигналом
Стеклоочистители ""Aero blade""
Легкосплавные диски 17"" с шинами 225/60R
Электропривод складывания зеркал заднего вида и повторители указателя поворота
Светодиодные дневные ходовые огни
Светодиодные противотуманные фары
Полностью светодиодные фары
Задние светодиодные фонари
Рейлинги на крыше","Система экстренной связи ЭРА-ГЛОНАСС
Иммобилайзер
Система контроля давления в шинах
Крепления 2-го ряда для детских сидений ISOFIX
Помощник при трогании в гору HAC
Помощник при спуске с горы DBC
Система стабилизации прицепа TSC
Интегрированная система активного управления VSM
Система стабилизации ESC
Антиблокировочная система тормозов ABS
Передние боковые подушки и шторки безопасности
Фронтальные подушки безопасности
Система управления тягой в поворотах ATCC (только для версии с полным приводом)
Стальное запасное колесо временного использования","Мультифункциональное рулевое колесо
Bluetooth для подключения мобильных устройств
Механическая регулировка спинок задних сидений
Электроусилитель рулевого управления
Передние и задние электростеклоподъёмники
Регулировка сиденья водителя по высоте
Дефлекторы обдува для задних пассажиров
Кондиционер
Система выбора режима движения Drive Mode Select (для версий с автоматической трансмиссией)
6 динамиков
Аудиосистема с радио, RDS и USB входом
Ключ с дистанционным управлением центральным замком
Регулировка рулевой колонки по высоте и вылету
Раздельный климат-контроль
Электрорегулировка поясничного подпора сиденья водителя
Система бесключевого доступа Smart Key и пуск двигателя кнопкой
Мультимедиа с 8"" цветным дисплеем, с поддержкой Android Auto и Apple Carplay
Камера заднего вида с динамической линией разметки
Стеклоподъёмник водителя c функцией Auto
Стеклоподъёмник переднего пассажира c функцией Auto
Электрохромное зеркало заднего вида
Датчик света
Датчик дождя
Круиз-контроль с функцией ограничителя скорости
Электрический стояночный тормоз EPB c функцией Autohold
Передние датчики парковки
Задние датчики парковки",,"Подогрев передних и задних сидений
Подогрев руля
Подогрев лобового стекла в зоне стоянки стеклоочистителей
Индикатор низкого уровня омывающей жидкости
Боковые зеркала с электроприводом и подогревом","Отделка дверных ручек матовым хромом
Чёрная глянцевая отделка центральной консоли
Рулевое колесо и ручка селектора трансмиссии с отделкой кожей**
Сиденья с комбинированной кожаной отделкой**",,"https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/1K/8.jpg,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/1K/9.jpg,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/1K/5.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/1K/2.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/1K/4.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/1K/1.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/1K/3.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/1K/6.jpg,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/1K/7.jpg",Kia,Sportage,Prestige Black Edition,2389900,12550,Black Pearl,1K,Черный,Комбинированная кожаная отделка** (WK)
https://kia-armand.ru/models/cerato_bd/cars/248cfe335936bd362b7ae9ab18d39790/,231,130,167,150,192,"Бензин,",2.0,1999,Евро-5,Передний,"9,8","7,4",Седан,2700,150,502,DJS42G61F,G406,2021,2021,2.0,MPI,АИ 92-95,Автомат,6,4640,1800,1450,"Дневные ходовые огни (DRL)
Зеркала заднего вида, окрашенные в цвет кузова
Передние и задние брызговики
Стальные диски 16"", с полноразмерными  колпаками и шинами 205 / 55 R16
Светодиодные дневные ходовые огни (LED DRL)
Повторители указателя поворота (LED)
Противотуманные фары","Фронтальные подушки безопасности
Боковые подушки и шторки безопасности
Система экстренной связи ЭРА-ГЛОНАСС
Система контроля давления в шинах
Интегрированная система активного управления (VSM)
Система помощи при трогании на подъеме (HAC)
Система помощи при экстренном торможении (BAS)
Антиблокировочная система тормозов (ABS)
Передние и задние дисковые тормоза
","Ключ с дистанционным управлением центральным замком
Иммобилайзер
Регулировка рулевой колонки по высоте и по вылету
Передние и задние стеклоподъёмники с электроприводом
Аудиосистема с радио AUX&USB входы (6 динамиков)
Bluetooth для подключения мобильного телефона
Мультифункциональное рулевое колесо
Водительское сиденье с регулировкой по высоте
Раздельный климат-контроль
Круиз-контроль
Датчик света
Приборная панель Supervision c монохромным дисплеем TFT 3.5''
Мультимедийная система 8"" с доступом к сервисам Яндекс*, Apple Carplay и Android Auto
Камера заднего вида
Задние датчики парковки",,"Зеркала заднего вида с электроприводом и подогревом
Подогрев передних сидений
Подогрев форсунок стеклоомывателя
Дополнительный электрический отопитель салона
Подогрев рулевого колеса",Рулевое колесо и ручка селектора трансмиссии с отделкой кожей**,,"https://cdn.kia.ru/resize/1295x632/master-data/albums/cerato/CR5/1.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/cerato/CR5/5.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/cerato/CR5/3.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/cerato/CR5/4.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/cerato/CR5/2.png",Kia,Cerato,Luxe,1539900,8040,Runway Red,CR5,Черный,Тканевая отделка (WK)
https://kia-armand.ru/models/sportage/cars/602a093d1e366faaa0e84781c9380a82/,274,155,199,184,237,"Бензин,",2.4,2359,Евро-5,Полный,"9,6","8,6",Кроссовер,2670,182,491,F1W5L6A1G,GJJN,2021,2021,2.4,GDI,АИ 95,Автомат,6,4485,1855,1645* *1655 - с рейлингами,"Задний спойлер со светодиодным стоп-сигналом
Стеклоочистители ""Aero blade""
Легкосплавные диски 17"" с шинами 225/60R
Электропривод складывания зеркал заднего вида и повторители указателя поворота
Светодиодные дневные ходовые огни
Противотуманные фары
Полностью светодиодные фары
Рейлинги на крыше","Система экстренной связи ЭРА-ГЛОНАСС
Иммобилайзер
Система контроля давления в шинах
Крепления 2-го ряда для детских сидений ISOFIX
Помощник при трогании в гору HAC
Помощник при спуске с горы DBC
Система стабилизации прицепа TSC
Интегрированная система активного управления VSM
Система стабилизации ESC
Антиблокировочная система тормозов ABS
Передние боковые подушки и шторки безопасности
Фронтальные подушки безопасности
Система управления тягой в поворотах ATCC (только для версии с полным приводом)
Стальное запасное колесо временного использования","Мультифункциональное рулевое колесо
Bluetooth для подключения мобильных устройств
Механическая регулировка спинок задних сидений
Электроусилитель рулевого управления
Передние и задние электростеклоподъёмники
Регулировка сиденья водителя по высоте
Дефлекторы обдува для задних пассажиров
Кондиционер
Система выбора режима движения Drive Mode Select (для версий с автоматической трансмиссией)
6 динамиков
Аудиосистема с радио, RDS и USB входом
Ключ с дистанционным управлением центральным замком
Регулировка рулевой колонки по высоте и вылету
Раздельный климат-контроль
Электрорегулировка поясничного подпора сиденья водителя
Система бесключевого доступа Smart Key и пуск двигателя кнопкой
Мультимедиа с 8"" цветным дисплеем, с поддержкой Android Auto и Apple Carplay
Камера заднего вида с динамической линией разметки
Стеклоподъёмник водителя c функцией Auto
Стеклоподъёмник переднего пассажира c функцией Auto
Электрохромное зеркало заднего вида
Датчик света
Датчик дождя
Круиз-контроль с функцией ограничителя скорости
Задние датчики парковки",,"Подогрев передних и задних сидений
Подогрев руля
Подогрев лобового стекла в зоне стоянки стеклоочистителей
Индикатор низкого уровня омывающей жидкости
Боковые зеркала с электроприводом и подогревом","Отделка дверных ручек матовым хромом
Рулевое колесо и ручка селектора трансмиссии с отделкой кожей**
Сиденья с отделкой тканью",,"https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/CSS/5.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/CSS/1.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/CSS/3.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/CSS/2.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/CSS/4.png",Kia,Sportage,Luxe + Black Edition,2264900,11900,Lunar Silver,CSS,Черный,Тканевая отделка (WK)
https://kia-armand.ru/models/sportage/cars/24cdc9a0921b14ce5d44d926396b2759/,274,155,199,184,237,"Бензин,",2.4,2359,Евро-5,Полный,"9,6","8,6",Кроссовер,2670,182,491,F1W5L6A1G,GJJP,2021,2021,2.4,GDI,АИ 95,Автомат,6,4485,1855,1645* *1655 - с рейлингами,"Задний спойлер со светодиодным стоп-сигналом
Стеклоочистители ""Aero blade""
Легкосплавные диски 17"" с шинами 225/60R
Электропривод складывания зеркал заднего вида и повторители указателя поворота
Светодиодные дневные ходовые огни
Светодиодные противотуманные фары
Полностью светодиодные фары
Задние светодиодные фонари
Рейлинги на крыше","Система экстренной связи ЭРА-ГЛОНАСС
Иммобилайзер
Система контроля давления в шинах
Крепления 2-го ряда для детских сидений ISOFIX
Помощник при трогании в гору HAC
Помощник при спуске с горы DBC
Система стабилизации прицепа TSC
Интегрированная система активного управления VSM
Система стабилизации ESC
Антиблокировочная система тормозов ABS
Передние боковые подушки и шторки безопасности
Фронтальные подушки безопасности
Система управления тягой в поворотах ATCC (только для версии с полным приводом)
Стальное запасное колесо временного использования","Мультифункциональное рулевое колесо
Bluetooth для подключения мобильных устройств
Механическая регулировка спинок задних сидений
Электроусилитель рулевого управления
Передние и задние электростеклоподъёмники
Регулировка сиденья водителя по высоте
Дефлекторы обдува для задних пассажиров
Кондиционер
Система выбора режима движения Drive Mode Select (для версий с автоматической трансмиссией)
6 динамиков
Аудиосистема с радио, RDS и USB входом
Ключ с дистанционным управлением центральным замком
Регулировка рулевой колонки по высоте и вылету
Раздельный климат-контроль
Электрорегулировка поясничного подпора сиденья водителя
Система бесключевого доступа Smart Key и пуск двигателя кнопкой
Мультимедиа с 8"" цветным дисплеем, с поддержкой Android Auto и Apple Carplay
Камера заднего вида с динамической линией разметки
Стеклоподъёмник водителя c функцией Auto
Стеклоподъёмник переднего пассажира c функцией Auto
Электрохромное зеркало заднего вида
Датчик света
Датчик дождя
Круиз-контроль с функцией ограничителя скорости
Электрический стояночный тормоз EPB c функцией Autohold
Передние датчики парковки
Задние датчики парковки",,"Подогрев передних и задних сидений
Подогрев руля
Подогрев лобового стекла в зоне стоянки стеклоочистителей
Индикатор низкого уровня омывающей жидкости
Боковые зеркала с электроприводом и подогревом","Отделка дверных ручек матовым хромом
Чёрная глянцевая отделка центральной консоли
Рулевое колесо и ручка селектора трансмиссии с отделкой кожей**
Сиденья с комбинированной кожаной отделкой**",,"https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/H8G/3.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/H8G/5.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/H8G/1.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/H8G/2.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/BE/H8G/4.png",Kia,Sportage,Prestige Black Edition,2389900,12550,Penta Metal,H8G,Черный,Комбинированная кожаная отделка** (WK)
https://kia-armand.ru/models/sportage/cars/106e6790b6f1bc96f4079987e63bd439/,261,155,194,150,192,"Бензин,",2.0,1999,Евро-5,Полный,"11,6","8,3",Кроссовер,2670,182,491,F1W52G61G,GJJN,2021,2021,2.0,MPI,АИ 95,Автомат,6,4485,1855,1645* *1655 - с рейлингами,"Задний спойлер со светодиодным стоп-сигналом
Стеклоочистители ""Aero blade""
Легкосплавные диски 17"" с шинами 225/60R
Электропривод складывания зеркал заднего вида и повторители указателя поворота
Светодиодные дневные ходовые огни
Противотуманные фары
Полностью светодиодные фары
Рейлинги на крыше","Система экстренной связи ЭРА-ГЛОНАСС
Иммобилайзер
Система контроля давления в шинах
Крепления 2-го ряда для детских сидений ISOFIX
Помощник при трогании в гору HAC
Помощник при спуске с горы DBC
Система стабилизации прицепа TSC
Интегрированная система активного управления VSM
Система стабилизации ESC
Антиблокировочная система тормозов ABS
Передние боковые подушки и шторки безопасности
Фронтальные подушки безопасности
Система управления тягой в поворотах ATCC (только для версии с полным приводом)
Стальное запасное колесо временного использования","Мультифункциональное рулевое колесо
Bluetooth для подключения мобильных устройств
Механическая регулировка спинок задних сидений
Электроусилитель рулевого управления
Передние и задние электростеклоподъёмники
Регулировка сиденья водителя по высоте
Дефлекторы обдува для задних пассажиров
Кондиционер
Система выбора режима движения Drive Mode Select (для версий с автоматической трансмиссией)
6 динамиков
Аудиосистема с радио, RDS и USB входом
Ключ с дистанционным управлением центральным замком
Регулировка рулевой колонки по высоте и вылету
Раздельный климат-контроль
Электрорегулировка поясничного подпора сиденья водителя
Система бесключевого доступа Smart Key и пуск двигателя кнопкой
Мультимедиа с 8"" цветным дисплеем, с поддержкой Android Auto и Apple Carplay
Камера заднего вида с динамической линией разметки
Стеклоподъёмник водителя c функцией Auto
Стеклоподъёмник переднего пассажира c функцией Auto
Электрохромное зеркало заднего вида
Датчик света
Датчик дождя
Круиз-контроль с функцией ограничителя скорости
Задние датчики парковки",,"Подогрев передних и задних сидений
Подогрев руля
Подогрев лобового стекла в зоне стоянки стеклоочистителей
Индикатор низкого уровня омывающей жидкости
Боковые зеркала с электроприводом и подогревом","Отделка дверных ручек матовым хромом
Рулевое колесо и ручка селектора трансмиссии с отделкой кожей**
Сиденья с отделкой тканью",,"https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/H8G/3.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/H8G/4.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/H8G/5.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/H8G/2.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/H8G/1.png",Kia,Sportage,Luxe + Black Edition,2134900,11210,Penta Metal,H8G,Черный,Тканевая отделка (WK)
https://kia-armand.ru/models/sportage/cars/e3f7881e08abf75f47d54bcd3bd1b872/,252,142,182,150,192,"Бензин,",2.0,1999,Евро-5,Передний,"11,4","7,9",Кроссовер,2670,182,491,F1W52G61F,GIHX,2021,2021,2.0,MPI,АИ 95,Автомат,6,4485,1855,1645* *1655 - с рейлингами,"Задний спойлер со светодиодным стоп-сигналом
Стеклоочистители ""Aero blade""
Легкосплавные диски 17"" с шинами 225/60R
Электропривод складывания зеркал заднего вида и повторители указателя поворота
Светодиодные дневные ходовые огни
Противотуманные фары
Рейлинги на крыше","Система экстренной связи ЭРА-ГЛОНАСС
Иммобилайзер
Система контроля давления в шинах
Крепления 2-го ряда для детских сидений ISOFIX
Помощник при трогании в гору HAC
Помощник при спуске с горы DBC
Система стабилизации прицепа TSC
Интегрированная система активного управления VSM
Система стабилизации ESC
Антиблокировочная система тормозов ABS
Передние боковые подушки и шторки безопасности
Фронтальные подушки безопасности
Стальное запасное колесо временного использования","Мультифункциональное рулевое колесо
Bluetooth для подключения мобильных устройств
Механическая регулировка спинок задних сидений
Электроусилитель рулевого управления
Передние и задние электростеклоподъёмники
Регулировка сиденья водителя по высоте
Дефлекторы обдува для задних пассажиров
Кондиционер
Система выбора режима движения Drive Mode Select (для версий с автоматической трансмиссией)
6 динамиков
Аудиосистема с радио, RDS и USB входом
Ключ с дистанционным управлением центральным замком
Регулировка рулевой колонки по высоте и вылету
Раздельный климат-контроль
Электрорегулировка поясничного подпора сиденья водителя
Мультимедиа с 8"" цветным дисплеем, с поддержкой Android Auto и Apple Carplay
Камера заднего вида с динамической линией разметки
Стеклоподъёмник водителя c функцией Auto
Стеклоподъёмник переднего пассажира c функцией Auto
Электрохромное зеркало заднего вида
Датчик света
Датчик дождя
Круиз-контроль с функцией ограничителя скорости
Задние датчики парковки",,"Подогрев передних и задних сидений
Подогрев руля
Подогрев лобового стекла в зоне стоянки стеклоочистителей
Индикатор низкого уровня омывающей жидкости
Боковые зеркала с электроприводом и подогревом","Отделка дверных ручек матовым хромом
Рулевое колесо и ручка селектора трансмиссии с отделкой кожей**
Сиденья с отделкой тканью",,"https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/KCS/1.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/KCS/5.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/KCS/3.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/KCS/4.png,https://cdn.kia.ru/resize/1295x632/master-data/albums/sportage/KCS/2.png",Kia,Sportage,Luxe,1989900,10450,Sparkling Silver,KCS,Черный,Тканевая отделка (WK)
