brand,img_link,img_name,count
ALFA ROMEO,https://www.oneclickdrive.com/application/views/img/brands_png/Alfa-Romeo-02.png?ver=3.3,Alfa-Romeo-02.png,2
ASTON MARTIN,https://www.oneclickdrive.com/application/views/img/brands_png/aston-martin.png?ver=3.3,aston-martin.png,1
AUDI,https://www.oneclickdrive.com/application/views/img/brands_png/audi.png?ver=3.3,audi.png,96
BENTLEY,https://www.oneclickdrive.com/application/views/img/brands_png/bentley.png?ver=3.3,bentley.png,25
BMW,https://www.oneclickdrive.com/application/views/img/brands_png/bmw.png?ver=3.3,bmw.png,93
CADILLAC,https://www.oneclickdrive.com/application/views/img/brands_png/cadillac.png?ver=3.3,cadillac.png,24
CHANGAN,https://www.oneclickdrive.com/application/views/img/brands_png/changan.png?ver=3.3,changan.png,1
CHEVROLET,https://www.oneclickdrive.com/application/views/img/brands_png/Chevrolet.png?ver=3.3,Chevrolet.png,77
CHRYSLER,https://www.oneclickdrive.com/application/views/img/brands_png/chrysler.png?ver=3.3,chrysler.png,2
CITROEN,https://www.oneclickdrive.com/application/views/img/brands_png/citroen.png?ver=3.3,citroen.png,4
DODGE,https://www.oneclickdrive.com/application/views/img/brands_png/dodge.png?ver=3.3,dodge.png,38
FERRARI,https://www.oneclickdrive.com/application/views/img/brands_png/ferrari.png?ver=3.3,ferrari.png,13
FIAT,https://www.oneclickdrive.com/application/views/img/brands_png/fiat.png?ver=3.3,fiat.png,2
FORD,https://www.oneclickdrive.com/application/views/img/brands_png/ford.png?ver=3.3,ford.png,1
GAC,https://www.oneclickdrive.com/application/views/img/brands_png/gac.png?ver=3.3,gac.png,96
GENESIS,https://www.oneclickdrive.com/application/views/img/brands_png/genesis.png?ver=3.3,genesis.png,25
GMC,https://www.oneclickdrive.com/application/views/img/brands_png/gmc.png?ver=3.3,gmc.png,93
HONDA,https://www.oneclickdrive.com/application/views/img/brands_png/honda.png?ver=3.3,honda.png,24
HYUNDAI,https://www.oneclickdrive.com/application/views/img/brands_png/hyundai.png?ver=3.3,hyundai.png,1
INFINITI,https://www.oneclickdrive.com/application/views/img/brands_png/infiniti.png?ver=3.3,infiniti.png,77
JAC,https://www.oneclickdrive.com/application/views/img/brands_png/jac.png?ver=3.3,jac.png,2
JAGUAR,https://www.oneclickdrive.com/application/views/img/brands_png/jaguar.png?ver=3.3,jaguar.png,4
JEEP,https://www.oneclickdrive.com/application/views/img/brands_png/jeep.png?ver=3.3,jeep.png,38
KIA,https://www.oneclickdrive.com/application/views/img/brands_png/kia.png?ver=3.3,kia.png,13
LAMBORGHINI,https://www.oneclickdrive.com/application/views/img/brands_png/lamborghini.png?ver=3.3,lamborghini.png,4
LAND ROVER,https://www.oneclickdrive.com/application/views/img/brands_png/land-rover.png?ver=3.3,land-rover.png,65
LEXUS,https://www.oneclickdrive.com/application/views/img/brands_png/lexus.png?ver=3.3,lexus.png,2
MASERATI,https://www.oneclickdrive.com/application/views/img/brands_png/maserati.png?ver=3.3,maserati.png,2
MAZDA,https://www.oneclickdrive.com/application/views/img/brands_png/mazda.png?ver=3.3,mazda.png,17
MCLAREN,https://www.oneclickdrive.com/application/views/img/brands_png/mclaren.png?ver=3.3,mclaren.png,5
MERCEDES BENZ,https://www.oneclickdrive.com/application/views/img/brands_png/mercedes-benz.png?ver=3.3,mercedes-benz.png,88
MG,https://www.oneclickdrive.com/application/views/img/brands_png/mg-01.png?ver=3.3,mg-01.png,13
MINI,https://www.oneclickdrive.com/application/views/img/brands_png/mini.png?ver=3.3,mini.png,3
MITSUBISHI,https://www.oneclickdrive.com/application/views/img/brands_png/Mitsubishi.png?ver=3.3,Mitsubishi.png,3
NISSAN,https://www.oneclickdrive.com/application/views/img/brands_png/nissan.png?ver=3.3,nissan.png,14
OPEL,https://www.oneclickdrive.com/application/views/img/brands_png/opel.png?ver=3.3,opel.png,88
PEUGEOT,https://www.oneclickdrive.com/application/views/img/brands_png/peugeot.png?ver=3.3,peugeot.png,35
PORSCHE,https://www.oneclickdrive.com/application/views/img/brands_png/porsche.png?ver=3.3,porsche.png,138
RENAULT,https://www.oneclickdrive.com/application/views/img/brands_png/renault.png?ver=3.3,renault.png,7
ROLLS ROYCE,https://www.oneclickdrive.com/application/views/img/brands_png/rolls-royce.png?ver=3.3,rolls-royce.png,5
SKODA,https://www.oneclickdrive.com/application/views/img/brands_png/skoda.png?ver=3.3,skoda.png,18
SUZUKI,https://www.oneclickdrive.com/application/views/img/brands_png/suzuki.png?ver=3.3,suzuki.png,8
TESLA,https://www.oneclickdrive.com/application/views/img/brands_png/tesla-01_new.png?ver=3.3,tesla-01_new.png,316
TOYOTA,https://www.oneclickdrive.com/application/views/img/brands_png/toyota.png?ver=3.3,toyota.png,15
VOLKSWAGEN,https://www.oneclickdrive.com/application/views/img/brands_png/volkswagen.png?ver=3.3,volkswagen.png,17
