Broker Name,Platform,Founded,Return/Refund,No. Of Assets,Regulated,Demo Account,Bonus,Rating,Countries,reviews
Opteck,,2011,,,CySEC,Yes,No Bonus,closed,"Australia,Cyprus,Belize","[{""title"": ""Arab"", ""author"": ""Mohammed"", ""text"": ""Fitter Advice!"", ""date"": ""09/19/2020 21:48""}]"
OptionBit,Tradologic,2010,70-85%/0%,100+,CySEC,No,Case Basis,closed,"Gibraltar,Spain,Cyprus,France","[{""title"": ""theft by option bit"", ""author"": ""chris bones"", ""text"": ""in 2016 i was ripped off by option bit to the sum of 32000 gbp whats the chance of getting my cash back ? yours sincerely chris bones"", ""date"": ""12/23/2021 23:20""}]"
IG,,1970,,,"FCA, ASIC",Yes,N/A,8.5,"New Zealand,Germany","[{""title"": ""Major delays to withdraw funds from IG trade"", ""author"": ""jeremy"", ""text"": ""IG Trade is a terrible platform for accessing your funds. They will delay it create major stress for you blaming third parties. Choose another platform to trade."", ""date"": ""04/07/2021 01:20""}, {""title"": ""Dec 2020 - non-functional telephone support for new business."", ""author"": ""Stephen Christopher"", ""text"": ""First, there may be Covid, or telephone management software faults behind this, neither of which would be IG\u2019s fault. However, I have had a difficult experience when aiming to open an IG A/C, through failing to obtain a response from IG\u2019s new business team, either by email or phone, from 2hr solid effort. Calls were unanswered for up to 46 minutes, and idiosyncratic behaviour by the voicemail system led me to think there may be a software fault. But the detailed report I sent by email has received no acknowledgement or response, which is pretty disappointing."", ""date"": ""12/22/2020 12:56""}, {""title"": ""IG tries to delay getting your money out as long as possible"", ""author"": ""Barry"", ""text"": ""My experience is that IG use tactics to hold your money when you want to withdraw. They send you an email saying withdrawal is approved, then 3 days later they say \u2013 sorry, not OK because your bank account is not \u2018verified\u2019, for which they ask for a copy of a statement. Then, once they approve that, you have to, again, ask for the money back \u2013 another 3 day wait. Why they don\u2019t verify your bank account when you open the account is a mystery their online help couldn\u2019t explain, not do they mention the fact you must reapply after the verification. Stay away."", ""date"": ""12/10/2020 00:59""}, {""title"": ""Deteriorated IG Trading Platform and Customer Support"", ""author"": ""Dehua Leo"", ""text"": ""I have been trading on IG for almost 10 years. Unfortunately they started to become more disappointing since about 2 years ago. This gives me the feeling that they have shifted their focus onto how to scoop more money from things from their clients, e.g. readjusting the spreads, the interests, etc. instead of growing with clients through better customer support."", ""date"": ""08/04/2020 06:36""}, {""title"": ""Manifestly Inadequate Platform - Total Waste of Time"", ""author"": ""Jus Commune"", ""text"": ""If you have any intention of day trading stay as far away from ig.com as you possibly can. Their platform is hopeless. For example, you cannot even sort the biggest gainers from the biggest losers which is a most basic sorting requirement. They have no scanner for share trading or anything like it. The platform or work space has next to no functionality. The help files do not apply to a share trading account only CFDs. Total waste of time. And forget about support. Try waiting on hold for 40 minutes at a time and then they can\u2019t answer the questions in any case."", ""date"": ""07/20/2020 23:28""}]"
MarketsWorld,MarketsWorld,2011,70-90% /0%,17,No,Yes,100%,closed,Isle of Man,[]
Binary,Binary,2000,High,High,"MFSA, BVI FSC, FSA",Yes,N/A,9.1,"Malta,Hong Kong,Canada,Malaysia,Costa Rica","[{""title"": ""Completely satisfied"", ""author"": ""GPK"", ""text"": ""Am trading since 2015 so far not faced any issues regarding withdrawals.."", ""date"": ""09/16/2021 07:19""}]"
IQ Option,"BO, CFD, Bitcoin",2013,,250+,"CySEC, FCA",Yes,Low Minimum,9.3,"Estonia,Poland,France,Romania,Denmark,Austria,Spain,Sweden,Japan,Bulgaria,Cyprus,Croatia,Hungary,Latvia,Finland,Lithuania,Malta,Germany,Portugal,Netherlands,Italy,Norway,Luxembourg,United Kingdom,Greece,Ireland,Iceland,Slovenia","[{""title"": ""Withdrawal not processed"", ""author"": ""Mia Cox"", ""text"": ""My account is already verified and was able to previously make a successful withdrawal for an amount of a mere 68.45 which took 2 business days to process. When I made additional deposit of 195USD and made a profit until my account grew to 532.35USD, my withdrawal status has been \u201cin process\u201d for more than 3 business days already. This is fishy as it gets. When I tried to inquire with customer support, they told me that my account is under review/validation as it was in the terms and conditions but cannot provide how may days it will take until it\u2019s done. What kind of process is that? Please don\u2019t trust this broker. I am about to file a compliant with CySEC."", ""date"": ""02/08/2022 08:47""}, {""title"": ""IQ BOT"", ""author"": ""Daniel"", ""text"": ""What is your opinion on their BOT. I have been trying it on Demo and seems fine. IS IT REALLY RELIABLE?"", ""date"": ""01/30/2022 17:14""}, {""title"": ""IQ Option review by John"", ""author"": ""John"", ""text"": ""IQ will be very irresponsible & delay looking into your problems if you have. I experienced multiple times when I suspect their server/platforms had technical problem & their platform\u2019s price simply fluctuate within very small range & doesn\u2019t move unlike the actual market price movement for that assets but IQ support will deny & gave you ridiculous reasons & ignore you. Be Careful."", ""date"": ""01/16/2022 14:09""}, {""title"": ""Painkillers Answers with no results"", ""author"": ""Antony C."", ""text"": ""I got contacted by VIP Manager from IQ option & she asked me to deposit 2000 US Dollars to get it \u201calso received email that the call was recorded\u201d, thereafter several communication with support team on live chat & emails for at least 1 reasonable justification why VIP cannot be granted, I received one simple email that pissed me off \u201cThe operators you were in touch with evaluate your account and forward the information to the VIP department."", ""date"": ""10/04/2020 14:53""}, {""title"": ""Delayed withdrawal"", ""author"": ""Eduardo C"", ""text"": ""The status is granted at their discretion."", ""date"": ""06/14/2020 16:08""}, {""title"": ""Highly Recommended Broker for Malaysians"", ""author"": ""Tubby7cat"", ""text"": ""You are welcome to try again next month."", ""date"": ""05/02/2020 02:08""}, {""title"": ""NO scam"", ""author"": ""Profesional car detailer :)"", ""text"": ""IQ Option takes its sweet time at its convenience to let you withdraw your money. My withdrawal request has unreasonably remained \u201cin progress\u201d for 45 days now, and the status hasn\u2019t changed. It\u2019s a crap to always get a reply that it is being handled by the relevant department. Now have to resort to report the matter to the CYSEC, with incriminating documents to be submitted. They simply do not play fair."", ""date"": ""02/13/2020 20:01""}, {""title"": ""IQ OPTION IS A SHITTY BROKER"", ""author"": ""Tommy"", ""text"": ""I\u2019ve used several platforms for my trading and must say that IQ Option has one of the fastest deposit/withdrawal of cash that I have ever seen."", ""date"": ""03/13/2020 01:02""}, {""title"": ""taylor the all knowing lol"", ""author"": ""TAYLOR W KARAITIANA"", ""text"": ""Then they have huge spreads, much greater than in the other platforms \u2013 that\u2019s another 10% I think."", ""date"": ""05/17/2020 07:50""}]"
Ayrex,Ayrex,2014,60-80%,35+,No,Yes,Up to 30%,8,Australia,"[{""title"": ""ayrex review by Jose"", ""author"": ""Jose R Chapa"", ""text"": ""They make it impossible to withdraw your profits and they attempt to represent the United States IRS by assessing your taxes"", ""date"": ""08/27/2021 20:27""}, {""title"": ""Ayrex doesn't reply"", ""author"": ""Alfred Masesa"", ""text"": ""I have been contacting ayrex in vain and they don\u2019t reply,whts wrong with this platform?"", ""date"": ""04/20/2020 14:38""}, {""title"": ""Hi Alfred Masesa"", ""author"": ""John Peter"", ""text"": ""Send me a Mail on"", ""date"": ""06/24/2020 14:37""}]"
PWRTrade,SpotOption,2015,75-85%/ 0%,80+,No,No,100%,7.4,"Belgium,Marshall Islands","[{""title"": ""They suggested that it was a Bill Gates scheme.."", ""author"": ""Terry McManus"", ""text"": ""Welcome to GatesWay\u2026Seemed Like Bill gates was part of the setup simply only lost 250 pounds but No response \u2026A Scam.."", ""date"": ""10/03/2021 12:22""}]"
OptionsClick,Tech,2011,60-89%/0-2%,23,CySEC,No,100%,closed,Cyprus,[]
Dukascopy,Dukascopy Platform,1998,70-90%,100+,"FINMA, FCMC, JFSA, FCA",Yes,100%,8.5,"Latvia,Hong Kong,Japan,Switzerland,Israel","[{""title"": ""Worst experience I've had with a bank"", ""author"": ""igncio"", ""text"": ""Worst experience I\u2019ve had with a bank, no matter traditional or fintech. A neobank is supposed to make your life easier, this one is going to make it harder. Freezing funds, questioning every move, continuous request for \u201cadditional information\u201d. A terrible bank, I do not recommend it at all."", ""date"": ""06/08/2022 11:19""}, {""title"": ""they seem OK at first but beware"", ""author"": ""paul"", ""text"": ""Everything seemed ok, but left the funds in the account & had not made a withdrawal. I added additional funds which were not credited to my account. I contacted the account manager, who I had spoken to before, but nothing from him(even if drab is a real name); after weeks of trying including opening a ticket with support nothing! to this day my money has not been credited to my account or refunded. You have been warned"", ""date"": ""04/24/2021 20:52""}]"
